Card_ID,Edition_ID,Name,Super_Type,Primary_Type,CMC,Is_Hybrid,Generic_Mana,Is_X,Is_W,Is_U,Is_B,Is_R,Is_G,Is_C
31,17,A-Circle of the Land Druid,,Creature,2,False,1,False,False,False,False,False,True,False
32,17,A-Dawnbringer Cleric,,Creature,2,False,1,False,True,False,False,False,False,False
33,17,A-Dragonborn Looter,,Creature,1,False,0,False,False,True,False,False,False,False
34,17,A-Druidic Ritual,,Sorcery,3,False,2,False,False,False,False,False,True,False
35,17,A-Earthquake Dragon,,Creature,15,False,14,False,False,False,False,False,True,False
36,17,A-Emerald Dragon,,Creature,9,False,6,False,False,False,False,False,True,False
37,17,A-Dissonant Wave,,Instant,0,False,0,False,False,False,False,False,False,False
38,17,A-Eyes of the Beholder,,Instant,5,False,3,False,False,False,True,False,False,False
39,17,A-Goggles of Night,,Artifact,2,False,1,False,False,True,False,False,False,False
40,17,A-Guildsworn Prowler,,Creature,2,False,1,False,False,False,True,False,False,False
41,17,A-Jade Orb of Dragonkind,,Artifact,3,False,2,False,False,False,False,False,True,False
42,17,A-Kenku Artificer,,Creature,3,False,2,False,False,True,False,False,False,False
43,17,A-Krydle of Baldur's Gate,Legendary,Creature,2,False,0,False,False,True,True,False,False,False
44,17,A-Lantern of Revealing,,Artifact,3,False,3,False,False,False,False,False,False,False
45,17,A-Lapis Orb of Dragonkind,,Artifact,3,False,2,False,False,True,False,False,False,False
46,17,A-Manticore,,Creature,4,False,3,False,False,False,True,False,False,False
47,17,"A-Minsc & Boo, Timeless Heroes",Legendary,Planeswalker,5,False,3,False,False,False,False,True,True,False
48,17,A-Monster Manual,,Artifact,7,False,5,False,False,False,False,False,True,False
49,17,A-Zoological Study,,Sorcery,0,False,0,False,False,False,False,False,False,False
50,17,A-Navigation Orb,,Artifact,3,False,3,False,False,False,False,False,False,False
51,18,A-Orcish Bowmasters,,Creature,2,False,1,False,False,False,True,False,False,False
52,17,A-Pseudodragon Familiar,,Creature,3,False,2,False,False,True,False,False,False,False
53,17,A-Sepulcher Ghoul,,Creature,2,False,1,False,False,False,True,False,False,False
54,17,A-Sigil of Myrkul,,Enchantment,2,False,1,False,False,False,True,False,False,False
55,17,A-Split the Spoils,,Sorcery,2,False,1,False,False,False,False,False,True,False
56,17,A-Steadfast Unicorn,,Creature,1,False,0,False,True,False,False,False,False,False
57,18,A-The One Ring,Legendary,Artifact,4,False,4,False,False,False,False,False,False,False
58,17,A-You Come to a River,,Sorcery,3,False,2,False,False,True,False,False,False,False
59,17,A-Young Blue Dragon,,Creature,7,False,5,False,False,True,False,False,False,False
60,17,A-Sand Augury,,Sorcery,0,False,0,False,False,False,False,False,False,False
61,17,A-Young Red Dragon,,Creature,6,False,4,False,False,False,False,True,False,False
62,17,A-Bathe in Gold,,Instant,0,False,0,False,False,False,False,False,False,False
63,19,Aang,,Token,0,False,0,False,False,False,False,False,False,False
64,20,Aang and Katara,Legendary,Creature,6,False,3,False,True,True,False,False,True,False
65,21,Aang Tutorial,,Token,0,False,0,False,False,False,False,False,False,False
66,20,"Aang, A Lot to Learn",Legendary,Creature,2,False,2,False,False,False,False,False,False,False
67,20,"Aang, Air Nomad",Legendary,Creature,5,False,3,False,True,False,False,False,False,False
68,20,"Aang, Airbending Master",Legendary,Creature,5,False,4,False,True,False,False,False,False,False
69,22,"Aang, at the Crossroads",Legendary,Creature,5,False,2,False,True,True,False,False,True,False
70,22,"Aang, Destined Savior",Legendary,Creature,0,False,0,False,False,False,False,False,False,False
71,22,"Aang, Swift Savior",Legendary,Creature,3,False,1,False,True,True,False,False,False,False
72,22,"Aang and La, Ocean's Fury",Legendary,Creature,0,False,0,False,False,False,False,False,False,False
73,22,"Aang, the Last Airbender",Legendary,Creature,4,False,3,False,True,False,False,False,False,False
74,20,Aang's Defense,,Instant,1,False,0,False,True,False,False,False,False,False
75,22,Aang's Iceberg,,Enchantment,3,False,2,False,True,False,False,False,False,False
76,22,Aang's Journey,,Sorcery,2,False,2,False,False,False,False,False,False,False
77,23,Aarakocra Sneak,,Creature,4,False,3,False,False,True,False,False,False,False
78,20,Aardvark Sloth,,Creature,4,False,3,False,True,False,False,False,False,False
79,2,Aardwolf's Advantage,,Sorcery,3,False,2,False,False,False,False,True,False,False
80,24,"Aatchik, Emerald Radian",Legendary,Creature,6,False,3,False,False,False,True,False,True,False
81,25,Abaddon the Despoiler,Legendary,Creature,5,False,2,False,False,True,True,True,False,False
82,22,Abandon Attachments,,Instant,1,False,1,False,False,False,False,False,False,False
83,26,Abandon Hope,,Sorcery,2,False,1,True,False,False,True,False,False,False
84,27,Abandon Reason,,Instant,3,False,2,False,False,False,False,True,False,False
85,28,Abandon the Post,,Sorcery,2,False,1,False,False,False,False,True,False,False
86,22,Abandoned Air Temple,,Land,0,False,0,False,False,False,False,False,False,False
87,29,Abandoned Campground,,Land,0,False,0,False,False,False,False,False,False,False
88,30,Abandoned Outpost,,Land,0,False,0,False,False,False,False,False,False,False
89,31,Abandoned Sarcophagus,,Artifact,3,False,3,False,False,False,False,False,False,False
90,32,Abattoir Ghoul,,Creature,4,False,3,False,False,False,True,False,False,False
91,33,Abbey Gargoyles,,Creature,5,False,2,False,True,False,False,False,False,False
92,32,Abbey Griffin,,Creature,4,False,3,False,True,False,False,False,False,False
93,34,Abbey Matron,,Creature,3,False,2,False,True,False,False,False,False,False
94,35,Abbot of Keral Keep,,Creature,2,False,1,False,False,False,False,True,False,False
95,7,Abbot of the Sacred Meeple,,Creature,2,False,1,False,True,False,False,False,False,False
96,36,"Abby, Merciless Soldier",Legendary,Creature,3,False,1,False,False,False,False,True,True,False
97,23,"Abdel Adrian, Gorion's Ward",Legendary,Creature,5,False,4,False,True,False,False,False,False,False
98,37,Abduction,,Enchantment,4,False,2,False,False,True,False,False,False,False
99,38,Aberrant,,Creature,2,False,1,True,False,False,False,False,True,False
100,4,Aberrant Mind Sorcerer,,Creature,5,False,4,False,False,True,False,False,False,False
101,39,Aberrant Researcher,,Creature,4,False,3,False,False,True,False,False,False,False
102,39,Perfected Form,,Creature,0,False,0,False,False,False,False,False,False,False
103,40,Abeyance,,Instant,2,False,1,False,True,False,False,False,False,False
104,29,Abhorrent Oculus,,Creature,3,False,2,False,False,True,False,False,False,False
105,41,Abhorrent Overlord,,Creature,7,False,5,False,False,False,True,False,False,False
106,9,"Abian, Luvion Usurper",Legendary,Planeswalker,7,False,5,False,False,False,False,True,True,False
107,42,Abiding Grace,,Enchantment,3,False,2,False,True,False,False,False,False,False
108,43,Ability Punchcard,,Token,0,False,0,False,False,False,False,False,False,False
109,40,Abjure,,Instant,1,False,0,False,False,True,False,False,False,False
110,44,Abnormal Endurance,,Instant,2,False,1,False,False,False,True,False,False,False
111,23,Aboleth Spawn,,Creature,3,False,2,False,False,True,False,False,False,False
112,45,Abolish,,Instant,3,False,1,False,True,False,False,False,False,False
113,46,Abominable Treefolk,Snow,Creature,4,False,2,False,False,True,False,False,True,False
114,47,Abomination,,Creature,5,False,3,False,False,False,True,False,False,False
115,48,Abomination of Gudul,,Creature,6,False,3,False,False,True,True,False,True,False
116,49,Abomination of Llanowar,Legendary,Creature,3,False,1,False,False,False,True,False,True,False
117,40,Aboroth,,Creature,6,False,4,False,False,False,False,False,True,False
118,30,"Aboshan, Cephalid Emperor",Legendary,Creature,6,False,4,False,False,True,False,False,False,False
119,30,Aboshan's Desire,,Enchantment,1,False,0,False,False,True,False,False,False,False
120,50,About Face,,Instant,1,False,0,False,False,False,False,True,False,False
121,51,Above the Clouds,,Token,0,False,0,False,False,False,False,False,False,False
122,52,Abrade,,Instant,2,False,1,False,False,False,False,True,False,False
123,53,Abraded Bluffs,,Land,0,False,0,False,False,False,False,False,False,False
124,54,Abrupt Decay,,Instant,2,False,0,False,False,False,True,False,True,False
125,55,Absolute Grace,,Enchantment,2,False,1,False,True,False,False,False,False,False
126,55,Absolute Law,,Enchantment,2,False,1,False,True,False,False,False,False,False
127,14,Absolute Virtue,Legendary,Creature,8,False,6,False,True,True,False,False,False,False
128,56,Absolver Thrull,,Creature,4,False,3,False,True,False,False,False,False,False
129,10,Absolving Lammasu,,Creature,5,False,4,False,True,False,False,False,False,False
130,57,Absorb,,Instant,3,False,0,False,True,True,False,False,False,False
131,58,Absorb Energy,,Instant,3,False,1,False,False,True,False,False,False,False
132,59,Absorb Identity,,Instant,2,False,1,False,False,True,False,False,False,False
133,60,Absorb Vis,,Sorcery,7,False,6,False,False,False,True,False,False,False
134,61,Abstergo Entertainment,Legendary,Land,0,False,0,False,False,False,False,False,False,False
135,62,Abstract Iguanart,,Creature,2,False,1,False,False,False,False,True,False,False
136,63,Abstruse Appropriation,,Instant,4,False,2,False,True,False,True,False,False,False
137,64,Abstruse Archaic,,Creature,4,False,4,False,False,False,False,False,False,False
138,65,Abstruse Interference,,Instant,3,False,2,False,False,True,False,False,False,False
139,66,Abu Ja'far,,Creature,1,False,0,False,True,False,False,False,False,False
140,67,"Abuelo, Ancestral Echo",Legendary,Creature,3,False,1,False,True,True,False,False,False,False
141,67,Abuelo's Awakening,,Sorcery,4,False,3,True,True,False,False,False,False,False
142,68,Abuna Acolyte,,Creature,2,False,1,False,True,False,False,False,False,False
143,69,Abuna's Chant,,Instant,4,False,3,False,True,False,False,False,False,False
144,25,Abundance,,Enchantment,4,False,2,False,False,False,False,False,True,False
145,70,Abundant Growth,,Enchantment,1,False,0,False,False,False,False,False,True,False
146,64,Abundant Harvest,,Sorcery,1,False,0,False,False,False,False,False,True,False
147,27,Abundant Maw,,Creature,8,False,8,False,False,False,False,False,False,False
148,40,Abyssal Gatekeeper,,Creature,2,False,1,False,False,False,True,False,False,False
149,67,Abyssal Gorestalker,,Creature,6,False,4,False,False,False,True,False,False,False
150,52,Abyssal Harvester,,Creature,3,False,1,False,False,False,True,False,False,False
151,71,Abyssal Horror,,Creature,6,False,4,False,False,False,True,False,False,False
152,37,Abyssal Hunter,,Creature,4,False,3,False,False,False,True,False,False,False
153,72,Abyssal Nightstalker,,Creature,4,False,3,False,False,False,True,False,False,False
154,56,Abyssal Nocturnus,,Creature,3,False,1,False,False,False,True,False,False,False
155,73,Abyssal Persecutor,,Creature,4,False,2,False,False,False,True,False,False,False
156,74,Abyssal Specter,,Creature,4,False,2,False,False,False,True,False,False,False
157,75,Abzan Advantage,,Instant,2,False,1,False,True,False,False,False,False,False
158,48,Abzan Ascendancy,,Enchantment,3,False,0,False,True,False,True,False,True,False
159,48,Abzan Banner,,Artifact,3,False,3,False,False,False,False,False,False,False
160,48,Abzan Battle Priest,,Creature,4,False,3,False,True,False,False,False,False,False
161,75,Abzan Beastmaster,,Creature,3,False,2,False,False,False,False,False,True,False
162,48,Abzan Charm,,Instant,3,False,0,False,True,False,True,False,True,False
163,76,Abzan Devotee,,Creature,2,False,1,False,False,False,True,False,False,False
164,48,Abzan Falconer,,Creature,3,False,2,False,True,False,False,False,False,False
165,48,Abzan Guide,,Creature,6,False,3,False,True,False,True,False,True,False
166,75,Abzan Kin-Guard,,Creature,4,False,3,False,False,False,False,False,True,False
167,76,Abzan Monument,,Artifact,2,False,2,False,False,False,False,False,False,False
168,75,Abzan Runemark,,Enchantment,3,False,2,False,True,False,False,False,False,False
169,75,Abzan Skycaptain,,Creature,4,False,3,False,True,False,False,False,False,False
170,77,Academic Dispute,,Instant,1,False,0,False,False,False,False,True,False,False
171,77,Academic Probation,,Sorcery,2,False,1,False,True,False,False,False,False,False
172,78,Academy at Tolaria West,Plane,,0,False,0,False,False,False,False,False,False,False
173,79,Academy Drake,,Creature,3,False,2,False,False,True,False,False,False,False
174,80,Academy Elite,,Creature,4,False,3,False,False,True,False,False,False,False
175,79,Academy Journeymage,,Creature,5,False,4,False,False,True,False,False,False,False
176,81,Academy Loremaster,,Creature,2,False,0,False,False,True,False,False,False,False
177,82,Academy Manufactor,,Artifact Creature,3,False,3,False,False,False,False,False,False,False
178,83,Academy Raider,,Creature,3,False,2,False,False,False,False,True,False,False
179,84,Academy Rector,,Creature,4,False,3,False,True,False,False,False,False,False
180,85,Academy Researchers,,Creature,3,False,1,False,False,True,False,False,False,False
181,86,Academy Ruins,Legendary,Land,0,False,0,False,False,False,False,False,False,False
182,81,Academy Wall,,Creature,3,False,2,False,False,True,False,False,False,False
183,87,Accelerate,,Instant,2,False,1,False,False,False,False,True,False,False
184,88,Accelerated Mutation,,Instant,5,False,3,False,False,False,False,False,True,False
185,30,Acceptable Losses,,Sorcery,4,False,3,False,False,False,False,True,False,False
186,89,Access Denied,,Instant,5,False,3,False,False,True,False,False,False,False
187,77,Access Tunnel,,Land,0,False,0,False,False,False,False,False,False,False
188,3,Accessories to Murder,,Artifact,0,False,0,False,False,False,False,False,False,False
189,8,Accident-Prone Apprentice,,Creature,4,False,2,False,False,True,False,True,False,False
190,8,Amphibian Accident,,Instant,0,False,0,False,False,False,False,False,False,False
191,90,Acclaimed Contender,,Creature,3,False,2,False,True,False,False,False,False,False
192,77,Accomplished Alchemist,,Creature,4,False,3,False,False,False,False,False,True,False
193,91,Accomplished Automaton,,Artifact Creature,7,False,7,False,False,False,False,False,False,False
194,92,Accorder Paladin,,Creature,2,False,1,False,True,False,False,False,False,False
195,83,Accorder's Shield,,Artifact,0,False,0,False,False,False,False,False,False,False
196,22,Accumulate Wisdom,,Instant,2,False,1,False,False,True,False,False,False,False
197,93,Accumulated Knowledge,,Instant,2,False,1,False,False,True,False,False,False,False
198,94,Accursed Centaur,,Creature,1,False,0,False,False,False,True,False,False,False
199,95,Accursed Duneyard,,Land,0,False,0,False,False,False,False,False,False,False
200,31,Accursed Horde,,Creature,4,False,3,False,False,False,True,False,False,False
201,63,Accursed Marauder,,Creature,2,False,1,False,False,False,True,False,False,False
202,96,Accursed Spirit,,Creature,4,False,3,False,False,False,True,False,False,False
203,39,Accursed Witch,,Creature,4,False,3,False,False,False,True,False,False,False
204,39,Infectious Curse,,Enchantment,0,False,0,False,False,False,False,False,False,False
205,97,Ace Flockbringer,,Creature,3,False,1,False,True,True,False,False,False,False
206,98,"Ace, Fearless Rebel",Legendary,Creature,4,False,3,False,False,False,False,False,True,False
207,98,Ace's Baseball Bat,Legendary,Artifact,2,False,2,False,False,False,False,False,False,False
208,4,Acererak the Archlich,Legendary,Creature,3,False,2,False,False,False,True,False,False,False
209,1,"Ach! Hans, Run!",,Enchantment,6,False,2,False,False,False,False,True,True,False
210,61,Achilles Davenport,Legendary,Creature,4,False,2,False,False,True,True,False,False,False
211,99,Acid Rain,,Sorcery,4,False,3,False,False,True,False,False,False,False
212,68,Acid Web Spider,,Creature,5,False,3,False,False,False,False,False,True,False
213,100,Acid-Spewer Dragon,,Creature,6,False,5,False,False,False,True,False,False,False
214,101,Acidic Dagger,,Artifact,4,False,4,False,False,False,False,False,False,False
215,102,Acidic Slime,,Creature,5,False,3,False,False,False,False,False,True,False
216,103,Acidic Sliver,,Creature,2,False,0,False,False,False,True,True,False,False
217,80,Acidic Soil,,Sorcery,3,False,2,False,False,False,False,True,False,False
218,67,"Aclazotz, Deepest Betrayal",Legendary,Creature,5,False,3,False,False,False,True,False,False,False
219,67,Temple of the Dead,,Land,0,False,0,False,False,False,False,False,False,False
220,38,Acolyte Hybrid,,Creature,3,False,2,False,False,False,False,True,False,False
221,67,Acolyte of Aclazotz,,Creature,3,False,2,False,False,False,True,False,False,False
222,104,Acolyte of Affliction,,Creature,4,False,2,False,False,False,True,False,True,False
223,23,Acolyte of Bahamut,Legendary,Enchantment,2,False,1,False,False,False,False,False,True,False
224,35,Acolyte of the Inferno,,Creature,3,False,2,False,False,False,False,True,False,False
225,105,Acolyte of Xathrid,,Creature,1,False,0,False,False,False,True,False,False,False
226,106,Acolyte's Reward,,Instant,2,False,1,False,True,False,False,False,False,False
227,80,Acorn Catapult,,Artifact,4,False,4,False,False,False,False,False,False,False
228,87,Acorn Harvest,,Sorcery,4,False,3,False,False,False,False,False,True,False
229,62,"Acornelia, Fashionable Filcher",Legendary,Creature,4,False,3,False,False,False,True,False,False,False
230,69,Acquire,,Sorcery,5,False,3,False,False,True,False,False,False,False
231,107,Acquired Mutation,,Enchantment,3,False,2,False,False,False,False,True,False,False
232,108,Acquisition Octopus,,Artifact Creature,3,False,2,False,False,True,False,False,False,False
233,109,Acquisitions Expert,,Creature,2,False,1,False,False,False,True,False,False,False
234,55,Acridian,,Creature,2,False,1,False,False,False,False,False,True,False
235,29,Acrobatic Cheerleader,,Creature,2,False,1,False,True,False,False,False,False,False
236,67,Acrobatic Leap,,Instant,1,False,0,False,True,False,False,False,False,False
237,91,Acrobatic Maneuver,,Instant,3,False,2,False,True,False,False,False,False,False
238,110,Act of Aggression,,Instant,3,False,3,False,False,False,False,False,False,False
239,111,Act of Authority,,Enchantment,3,False,1,False,True,False,False,False,False,False
240,31,Act of Heroism,,Instant,2,False,1,False,True,False,False,False,False,False
241,112,Act of Treason,,Sorcery,3,False,2,False,False,False,False,True,False,False
242,96,Act on Impulse,,Sorcery,3,False,2,False,False,False,False,True,False,False
243,113,Activated Sleeper,,Creature,3,False,2,False,False,False,True,False,False,False
244,99,Active Volcano,,Instant,1,False,0,False,False,False,False,True,False,False
245,114,Ad Nauseam,,Instant,5,False,3,False,False,False,True,False,False,False
246,115,"Adagia, Windswept Bastion",,Land,0,False,0,False,False,False,False,False,False,False
247,52,Adamant Will,,Instant,2,False,1,False,True,False,False,False,False,False
248,116,"Adamaro, First to Desire",Legendary,Creature,3,False,1,False,False,False,False,True,False,False
249,117,Adanto Vanguard,,Creature,2,False,1,False,True,False,False,False,False,False
250,19,Adaptive,,Token,0,False,0,False,False,False,False,False,False,False
251,52,Adaptive Automaton,,Artifact Creature,3,False,3,False,False,False,False,False,False,False
252,67,Adaptive Gemguard,,Artifact Creature,4,False,3,False,True,False,False,False,False,False
253,95,Adaptive Omnitool,,Artifact,2,False,2,False,False,False,False,False,False,False
254,118,Adaptive Shimmerer,,Creature,5,False,5,False,False,False,False,False,False,False
255,119,Adaptive Snapjaw,,Creature,5,False,4,False,False,False,False,False,True,False
256,120,Adaptive Sporesinger,,Creature,3,False,2,False,False,False,False,False,True,False
257,121,Adaptive Training Post,,Artifact,3,False,2,False,False,True,False,False,False,False
258,122,Adarkar Sentinel,,Artifact Creature,5,False,5,False,False,False,False,False,False,False
259,122,Adarkar Unicorn,,Creature,3,False,1,False,True,False,False,False,False,False
260,123,Adarkar Valkyrie,Snow,Creature,6,False,4,False,True,False,False,False,False,False
261,81,Adarkar Wastes,,Land,0,False,0,False,False,False,False,False,False,False
262,124,Adarkar Windform,Snow,Creature,5,False,4,False,False,True,False,False,False,False
263,125,Adder-Staff Boggart,,Creature,2,False,1,False,False,False,False,True,False,False
264,126,Addle,,Sorcery,2,False,1,False,False,False,True,False,False,False
265,14,Adelbert Steiner,Legendary,Creature,2,False,1,False,True,False,False,False,False,False
266,121,"Adeline, Resplendent Cathar",Legendary,Creature,3,False,1,False,True,False,False,False,False,False
267,79,"Adeliz, the Cinder Wind",Legendary,Creature,3,False,1,False,False,True,False,True,False,False
268,19,Adept,,Token,0,False,0,False,False,False,False,False,False,False
269,61,"Adéwalé, Breaker of Chains",Legendary,Creature,3,False,1,False,False,True,True,False,False,False
270,127,Adherent of Hope,,Creature,2,False,1,False,True,False,False,False,False,False
271,98,Adipose Offspring,,Creature,4,False,3,False,True,False,False,False,False,False
272,117,Admiral Beckett Brass,Legendary,Creature,4,False,1,False,False,True,True,True,False,False
273,128,"Admiral Brass, Unsinkable",Legendary,Creature,5,False,2,False,False,True,True,True,False,False
274,129,Admiral's Order,,Instant,3,False,1,False,False,True,False,False,False,False
275,130,Admonition Angel,,Creature,6,False,3,False,True,False,False,False,False,False
276,62,Adorable Kitten,,Host Creature,1,False,0,False,True,False,False,False,False,False
277,76,Adorned Crocodile,,Creature,5,False,4,False,False,False,True,False,False,False
278,31,Adorned Pouncer,,Creature,2,False,1,False,True,False,False,False,False,False
279,43,Adorned Pouncer // Horse,,Token,0,False,0,False,False,False,False,False,False,False
280,43,Adorned Pouncer // Warrior,,Token,0,False,0,False,False,False,False,False,False,False
281,24,Adrenaline Jockey,,Creature,3,False,2,False,False,False,False,True,False,False
282,61,Adrestia,Legendary,Artifact,3,False,3,False,False,False,False,False,False,False
283,131,"Adriana, Captain of the Guard",Legendary,Creature,5,False,3,False,True,False,False,True,False,False
284,132,Adriana's Valor,,Conspiracy,0,False,0,False,False,False,False,False,False,False
285,98,"Adric, Mathematical Genius",Legendary,Creature,2,False,1,False,False,True,False,False,False,False
286,133,"Adrix and Nev, Twincasters",Legendary,Creature,4,False,2,False,False,True,False,False,True,False
287,4,Adult Gold Dragon,,Creature,5,False,3,False,True,False,False,True,False,False
288,99,Adun Oakenshield,Legendary,Creature,3,False,0,False,False,False,True,True,True,False
289,26,Advance Scout,,Creature,2,False,1,False,True,False,False,False,False,False
290,69,Advanced Hoverguard,,Creature,4,False,3,False,False,True,False,False,False,False
291,27,Advanced Stitchwing,,Creature,5,False,3,False,False,True,False,False,False,False
292,134,Advantageous Proclamation,,Conspiracy,0,False,0,False,False,False,False,False,False,False
293,135,Advent of the Wurm,,Instant,4,False,1,False,True,False,False,False,True,False
294,109,Adventure Awaits,,Sorcery,2,False,1,False,False,False,False,False,True,False
295,14,Adventurer's Airship,,Artifact,3,False,3,False,False,False,False,False,False,False
296,14,Adventurer's Inn,,Land,0,False,0,False,False,False,False,False,False,False
297,99,Adventurers' Guildhouse,,Land,0,False,0,False,False,False,False,False,False,False
298,52,Adventuring Gear,,Artifact,1,False,1,False,False,False,False,False,False,False
299,118,Adventurous Impulse,,Sorcery,1,False,0,False,False,False,False,False,True,False
300,136,Adverse Conditions,,Instant,4,False,3,False,False,True,False,False,False,False
301,137,Advice from the Fae,,Sorcery,0,False,0,False,False,False,False,False,False,False
302,83,Advocate of the Beast,,Creature,3,False,2,False,False,False,False,False,True,False
303,59,"Aegar, the Freezing Flame",Legendary,Creature,3,False,1,False,False,True,False,True,False,False
304,35,Aegis Angel,,Creature,6,False,4,False,True,False,False,False,False,False
305,138,Aegis Automaton,,Artifact Creature,2,False,2,False,False,False,False,False,False,False
306,30,Aegis of Honor,,Enchantment,1,False,0,False,True,False,False,False,False,False
307,139,Aegis of the Gods,,Enchantment Creature,2,False,1,False,True,False,False,False,False,False
308,44,Aegis of the Heavens,,Instant,2,False,1,False,True,False,False,False,False,False
309,140,Aegis of the Legion,,Artifact,2,False,0,False,True,False,False,True,False,False
310,122,Aegis of the Meek,,Artifact,3,False,3,False,False,False,False,False,False,False
311,76,Aegis Sculptor,,Creature,4,False,3,False,False,True,False,False,False,False
312,52,Aegis Turtle,,Creature,1,False,0,False,False,True,False,False,False,False
313,141,Aeolipile,,Artifact,2,False,2,False,False,False,False,False,False,False
314,142,Aeon Chronicler,,Creature,5,False,3,False,False,True,False,False,False,False
315,143,Aeon Engine,,Artifact,5,False,5,False,False,False,False,False,False,False
316,99,Aerathi Berserker,,Creature,5,False,2,False,False,False,False,True,False,False
317,112,Aerial Assault,,Sorcery,3,False,2,False,True,False,False,False,False,False
318,144,Aerial Boost,,Instant,2,False,1,False,True,False,False,False,False,False
319,145,Aerial Caravan,,Creature,6,False,4,False,False,True,False,False,False,False
320,44,Aerial Engineer,,Creature,4,False,2,False,True,True,False,False,False,False
321,133,Aerial Extortionist,,Creature,5,False,3,False,True,False,False,False,False,False
322,139,Aerial Formation,,Instant,1,False,0,False,False,True,False,False,False,False
323,31,Aerial Guide,,Creature,3,False,2,False,False,True,False,False,False,False
324,119,Aerial Maneuver,,Instant,2,False,1,False,True,False,False,False,False,False
325,138,Aerial Modification,,Enchantment,5,False,4,False,True,False,False,False,False,False
326,146,Aerial Predation,,Instant,3,False,2,False,False,False,False,False,True,False
327,91,Aerial Responder,,Creature,3,False,1,False,True,False,False,False,False,False
328,89,Aerial Surveyor,,Artifact,3,False,2,False,True,False,False,False,False,False
329,3,Aerial Toastmaster,,Artifact Creature,4,False,3,False,True,False,False,False,False,False
330,35,Aerial Volley,,Instant,1,False,0,False,False,False,False,False,True,False
331,2,Aerialephant,,Creature,4,False,3,False,True,False,False,False,False,False
332,63,Aerie Auxiliary,,Creature,4,False,3,False,True,False,False,False,False,False
333,100,Aerie Bowmasters,,Creature,4,False,2,False,False,False,False,False,True,False
334,60,Aerie Mystics,,Creature,5,False,4,False,True,False,False,False,False,False
335,147,Aerie Ouphes,,Creature,5,False,4,False,False,False,False,False,True,False
336,106,Aerie Worshippers,,Creature,4,False,3,False,False,True,False,False,False,False
337,14,Aerith Gainsborough,Legendary,Creature,3,False,2,False,True,False,False,False,False,False
338,14,Aerith Rescue Mission,,Sorcery,4,False,3,False,True,False,False,False,False,False
339,148,"Aerith, Last Ancient",Legendary,Creature,4,False,2,False,True,False,False,False,True,False
340,149,Aeromoeba,,Creature,4,False,3,False,False,True,False,False,False,False
341,57,Aeromunculus,,Creature,3,False,1,False,False,True,False,False,True,False
342,138,Aeronaut Admiral,,Creature,4,False,3,False,True,False,False,False,False,False
343,150,Aeronaut Cavalry,,Creature,5,False,4,False,True,False,False,False,False,False
