Name,Edition,Price,Type,Mana Cost
"A-Baba Lysaga, Night Witch",Cheapest Recent Printing - Alchemy Horizons: Baldur's Gate,N/A,Legendary Creature - Human Warlock,sym_2 sym_b sym_g
A-Baleful Beholder,Cheapest Recent Printing - Alchemy Horizons: Baldur's Gate,N/A,Creature - Beholder,sym_4 sym_b sym_b
A-Blessed Hippogriff // A-Tyr's Blessing,Cheapest Recent Printing - Alchemy Horizons: Baldur's Gate,N/A,Creature - Hippogriff // Instant - Adventure,sym_3 sym_w sym_1 sym_w
A-Carnelian Orb of Dragonkind,Cheapest Recent Printing - Alchemy Horizons: Baldur's Gate,N/A,Artifact,sym_2 sym_r
A-Circle of the Land Druid,Cheapest Recent Printing - Alchemy Horizons: Baldur's Gate,N/A,Creature - Gnome Druid,sym_1 sym_g
A-Dawnbringer Cleric,Cheapest Recent Printing - Alchemy Horizons: Baldur's Gate,N/A,Creature - Human Cleric,sym_1 sym_w
A-Dragonborn Looter,Cheapest Recent Printing - Alchemy Horizons: Baldur's Gate,N/A,Creature - Dragon Rogue,sym_u
A-Druidic Ritual,Cheapest Recent Printing - Alchemy Horizons: Baldur's Gate,N/A,Sorcery,sym_2 sym_g
A-Earthquake Dragon,Cheapest Recent Printing - Alchemy Horizons: Baldur's Gate,N/A,Creature - Elemental Dragon,sym_14 sym_g
A-Emerald Dragon // A-Dissonant Wave,Cheapest Recent Printing - Alchemy Horizons: Baldur's Gate,N/A,Creature - Dragon // Instant - Adventure,sym_4 sym_g sym_g sym_2 sym_g
A-Eyes of the Beholder,Cheapest Recent Printing - Alchemy Horizons: Baldur's Gate,N/A,Instant,sym_3 sym_b sym_b
A-Goggles of Night,Cheapest Recent Printing - Alchemy Horizons: Baldur's Gate,N/A,Artifact - Equipment,sym_1 sym_u
A-Guildsworn Prowler,Cheapest Recent Printing - Alchemy Horizons: Baldur's Gate,N/A,Creature - Tiefling Rogue Assassin,sym_1 sym_b
A-Jade Orb of Dragonkind,Cheapest Recent Printing - Alchemy Horizons: Baldur's Gate,N/A,Artifact,sym_2 sym_g
A-Kenku Artificer,Cheapest Recent Printing - Alchemy Horizons: Baldur's Gate,N/A,Creature - Bird Artificer,sym_2 sym_u
A-Krydle of Baldur's Gate,Cheapest Recent Printing - Alchemy Horizons: Baldur's Gate,N/A,Legendary Creature - Human Elf Rogue,sym_u sym_b
A-Lantern of Revealing,Cheapest Recent Printing - Alchemy Horizons: Baldur's Gate,N/A,Artifact,sym_3
A-Lapis Orb of Dragonkind,Cheapest Recent Printing - Alchemy Horizons: Baldur's Gate,N/A,Artifact,sym_2 sym_u
A-Manticore,Cheapest Recent Printing - Alchemy Horizons: Baldur's Gate,N/A,Creature - Manticore,sym_3 sym_b
"A-Minsc & Boo, Timeless Heroes",Cheapest Recent Printing - Alchemy Horizons: Baldur's Gate,N/A,Legendary Planeswalker - Minsc,sym_3 sym_r sym_g
A-Monster Manual // A-Zoological Study,Cheapest Recent Printing - Alchemy Horizons: Baldur's Gate,N/A,Artifact // Sorcery - Adventure,sym_3 sym_g sym_2 sym_g
A-Navigation Orb,Cheapest Recent Printing - Alchemy Horizons: Baldur's Gate,N/A,Artifact,sym_3
A-Orcish Bowmasters,Cheapest Recent Printing - The Lord of the Rings: Tales of Middle-earth,N/A,Creature - Orc Archer,sym_1 sym_b
A-Pseudodragon Familiar,Cheapest Recent Printing - Alchemy Horizons: Baldur's Gate,N/A,Creature - Dragon,sym_2 sym_u
A-Sepulcher Ghoul,Cheapest Recent Printing - Alchemy Horizons: Baldur's Gate,N/A,Creature - Zombie,sym_1 sym_b
A-Sigil of Myrkul,Cheapest Recent Printing - Alchemy Horizons: Baldur's Gate,N/A,Enchantment,sym_1 sym_b
A-Split the Spoils,Cheapest Recent Printing - Alchemy Horizons: Baldur's Gate,N/A,Sorcery,sym_1 sym_g
A-Steadfast Unicorn,Cheapest Recent Printing - Alchemy Horizons: Baldur's Gate,N/A,Creature - Unicorn,sym_w
A-The One Ring,Cheapest Recent Printing - The Lord of the Rings: Tales of Middle-earth,N/A,Legendary Artifact,sym_4
A-You Come to a River,Cheapest Recent Printing - Alchemy Horizons: Baldur's Gate,N/A,Sorcery,sym_2 sym_u
A-Young Blue Dragon // A-Sand Augury,Cheapest Recent Printing - Alchemy Horizons: Baldur's Gate,N/A,Creature - Dragon // Sorcery - Adventure,sym_4 sym_u sym_1 sym_u
A-Young Red Dragon // A-Bathe in Gold,Cheapest Recent Printing - Alchemy Horizons: Baldur's Gate,N/A,Creature - Dragon // Instant - Adventure,sym_3 sym_r sym_1 sym_r
Aang,Cheapest Recent Printing - Avatar: The Last Airbender Jumpstart Front Cards,N/A,Token,
Aang and Katara,Cheapest Recent Printing - Avatar: The Last Airbender Eternal,11.51,Legendary Creature - Human Avatar Ally,sym_3 sym_g sym_w sym_u
Aang Tutorial,Cheapest Recent Printing - Avatar: The Last Airbender Beginner Box Front Cards,N/A,Token,
"Aang, A Lot to Learn",Cheapest Recent Printing - Avatar: The Last Airbender Eternal,0.19,Legendary Creature - Human Avatar Ally,sym_2 sym_gw
"Aang, Air Nomad",Cheapest Recent Printing - Avatar: The Last Airbender Eternal,19.76,Legendary Creature - Human Avatar Ally,sym_3 sym_w sym_w
"Aang, Airbending Master",Cheapest Recent Printing - Avatar: The Last Airbender Eternal,12.88,Legendary Creature - Human Avatar Ally,sym_4 sym_w
"Aang, at the Crossroads // Aang, Destined Savior",Cheapest Recent Printing - Avatar: The Last Airbender,0.93,Legendary Creature - Human Avatar Ally // Legendary Creature - Avatar Ally,sym_2 sym_g sym_w sym_u
"Aang, Swift Savior // Aang and La, Ocean's Fury",Cheapest Recent Printing - Avatar: The Last Airbender,5.01,Legendary Creature - Human Avatar Ally // Legendary Creature - Avatar Spirit Ally,sym_1 sym_w sym_u
"Aang, the Last Airbender",Cheapest Recent Printing - Avatar: The Last Airbender,0.12,Legendary Creature - Human Avatar Ally,sym_3 sym_w
Aang's Defense,Cheapest Recent Printing - Avatar: The Last Airbender Eternal,5.02,Instant,sym_w
Aang's Iceberg,Cheapest Recent Printing - Avatar: The Last Airbender,0.34,Enchantment,sym_2 sym_w
Aang's Journey,Cheapest Recent Printing - Avatar: The Last Airbender,0.11,Sorcery - Lesson,sym_2
Aarakocra Sneak,Cheapest Recent Printing - Commander Legends: Battle for Baldur's Gate,0.06,Creature - Bird Rogue,sym_3 sym_u
Aardvark Sloth,Cheapest Recent Printing - Avatar: The Last Airbender Eternal,0.15,Creature - Sloth Beast,sym_3 sym_w
Aardwolf's Advantage,Cheapest Recent Printing - Unfinity,0.02,Sorcery,sym_2 sym_r
"Aatchik, Emerald Radian",Cheapest Recent Printing - Aetherdrift,0.17,Legendary Creature - Insect Druid,sym_3 sym_b sym_b sym_g
Abaddon the Despoiler,"Cheapest Recent Printing - Warhammer 40,000",0.39,Legendary Creature - Astartes Warrior,sym_2 sym_u sym_b sym_r
Abandon Attachments,Cheapest Recent Printing - Avatar: The Last Airbender,0.15,Instant - Lesson,sym_1 sym_ur
Abandon Hope,Cheapest Recent Printing - Tempest,0.25,Sorcery,sym_x sym_1 sym_b
Abandon Reason,Cheapest Recent Printing - Eldritch Moon,0.09,Instant,sym_2 sym_r
Abandon the Post,Cheapest Recent Printing - Innistrad: Midnight Hunt,0.03,Sorcery,sym_1 sym_r
Abandoned Air Temple,Cheapest Recent Printing - Avatar: The Last Airbender,1.63,Land,
Abandoned Campground,Cheapest Recent Printing - Duskmourn: House of Horror,0.07,Land,
Abandoned Outpost,Cheapest Recent Printing - Odyssey,0.12,Land,
Abandoned Sarcophagus,Cheapest Recent Printing - Hour of Devastation,0.20,Artifact,sym_3
Abattoir Ghoul,Cheapest Recent Printing - Innistrad,0.08,Creature - Zombie,sym_3 sym_b
Abbey Gargoyles,Cheapest Recent Printing - Fifth Edition,0.32,Creature - Gargoyle,sym_2 sym_w sym_w sym_w
Abbey Griffin,Cheapest Recent Printing - Innistrad,0.04,Creature - Griffin,sym_3 sym_w
Abbey Matron,Cheapest Recent Printing - Homelands,0.13,Creature - Human Cleric,sym_2 sym_w
Abbot of Keral Keep,Cheapest Recent Printing - Magic Origins,0.14,Creature - Human Monk,sym_1 sym_r
Abbot of the Sacred Meeple,Cheapest Recent Printing - Mystery Booster 2 Playtest Cards,0.17,Creature - Human Monk,sym_1 sym_w
"Abby, Merciless Soldier",Cheapest Recent Printing - Secret Lair Drop Series,6.59,Legendary Creature - Human Survivor,sym_1 sym_r sym_g
"Abdel Adrian, Gorion's Ward",Cheapest Recent Printing - Commander Legends: Battle for Baldur's Gate,0.10,Legendary Creature - Human Warrior,sym_4 sym_w
Abduction,Cheapest Recent Printing - Classic Sixth Edition,0.41,Enchantment - Aura,sym_2 sym_u sym_u
Aberrant,"Cheapest Recent Printing - Warhammer 40,000 Surge Foils",3.11,Creature - Tyranid Mutant,sym_x sym_1 sym_g
Aberrant Mind Sorcerer,Cheapest Recent Printing - Adventures in the Forgotten Realms,0.08,Creature - Human Elf Shaman,sym_4 sym_u
Aberrant Researcher // Perfected Form,Cheapest Recent Printing - Shadows over Innistrad,0.04,Creature - Human Insect // Creature - Insect Horror,sym_3 sym_u
Abeyance,Cheapest Recent Printing - Weatherlight,10.44,Instant,sym_1 sym_w
Abhorrent Oculus,Cheapest Recent Printing - Duskmourn: House of Horror,12.28,Creature - Eye,sym_2 sym_u
Abhorrent Overlord,Cheapest Recent Printing - Theros,0.34,Creature - Demon,sym_5 sym_b sym_b
"Abian, Luvion Usurper",Cheapest Recent Printing - Mystery Booster Playtest Cards 2021,0.28,Legendary Planeswalker - Abian,sym_5 sym_r sym_g
Abiding Grace,Cheapest Recent Printing - Modern Horizons 2 Timeshifts,0.18,Enchantment,sym_2 sym_w
Ability Punchcard,Cheapest Recent Printing - Extras: Hour of Devastation,0.06,Token,
Abjure,Cheapest Recent Printing - Weatherlight,2.40,Instant,sym_u
Abnormal Endurance,Cheapest Recent Printing - Core Set 2019,0.15,Instant,sym_1 sym_b
Aboleth Spawn,Cheapest Recent Printing - Commander Legends: Battle for Baldur's Gate,7.40,Creature - Fish Horror,sym_2 sym_u
Abolish,Cheapest Recent Printing - Prophecy,0.53,Instant,sym_1 sym_w sym_w
Abominable Treefolk,Cheapest Recent Printing - Modern Horizons,0.18,Snow Creature - Treefolk,sym_2 sym_g sym_u
Abomination,Cheapest Recent Printing - Fourth Edition,0.15,Creature - Horror,sym_3 sym_b sym_b
Abomination of Gudul,Cheapest Recent Printing - Khans of Tarkir,0.05,Creature - Horror,sym_3 sym_b sym_g sym_u
Abomination of Llanowar,Cheapest Recent Printing - Kaldheim Commander,0.30,Legendary Creature - Elf Horror,sym_1 sym_b sym_g
Aboroth,Cheapest Recent Printing - Weatherlight,0.88,Creature - Elemental,sym_4 sym_g sym_g
"Aboshan, Cephalid Emperor",Cheapest Recent Printing - Odyssey,0.54,Legendary Creature - Cephalid Noble,sym_4 sym_u sym_u
Aboshan's Desire,Cheapest Recent Printing - Odyssey,0.20,Enchantment - Aura,sym_u
About Face,Cheapest Recent Printing - Urza's Legacy,0.21,Instant,sym_r
Above the Clouds,Cheapest Recent Printing - Jumpstart Front Cards,N/A,Token,
Abrade,Cheapest Recent Printing - Foundations,0.17,Instant,sym_1 sym_r
Abraded Bluffs,Cheapest Recent Printing - Outlaws of Thunder Junction,0.10,Land - Desert,
Abrupt Decay,Cheapest Recent Printing - Mystery Booster 2,0.61,Instant,sym_b sym_g
Absolute Grace,Cheapest Recent Printing - Urza's Saga,0.52,Enchantment,sym_1 sym_w
Absolute Law,Cheapest Recent Printing - Urza's Saga,0.57,Enchantment,sym_1 sym_w
Absolute Virtue,Cheapest Recent Printing - Final Fantasy,2.79,Legendary Creature - Avatar Warrior,sym_6 sym_w sym_u
Absolver Thrull,Cheapest Recent Printing - Guildpact,0.10,Creature - Thrull Cleric,sym_3 sym_w
Absolving Lammasu,Cheapest Recent Printing - Murders at Karlov Manor,0.03,Creature - Lammasu,sym_4 sym_w
Absorb,Cheapest Recent Printing - Ravnica Allegiance,0.26,Instant,sym_w sym_u sym_u
Absorb Energy,Cheapest Recent Printing - Alchemy: Innistrad,N/A,Instant,sym_1 sym_u sym_u
Absorb Identity,Cheapest Recent Printing - Kaldheim,0.25,Instant,sym_1 sym_u
Absorb Vis,Cheapest Recent Printing - Conflux,0.04,Sorcery,sym_6 sym_b
Abstergo Entertainment,Cheapest Recent Printing - Assassin's Creed,2.21,Legendary Land,
Abstract Iguanart,Cheapest Recent Printing - Unsanctioned,0.09,Creature - Art Lizard,sym_1 sym_r
Abstruse Appropriation,Cheapest Recent Printing - Modern Horizons 3,0.16,Instant,sym_2 sym_w sym_b
Abstruse Archaic,Cheapest Recent Printing - Commander Masters,2.66,Creature - Avatar,sym_4
Abstruse Interference,Cheapest Recent Printing - Oath of the Gatewatch,0.03,Instant,sym_2 sym_u
Abu Ja'far,Cheapest Recent Printing - Chronicles,0.25,Creature - Human,sym_w
"Abuelo, Ancestral Echo",Cheapest Recent Printing - The Lost Caverns of Ixalan,0.12,Legendary Creature - Spirit,sym_1 sym_w sym_u
Abuelo's Awakening,Cheapest Recent Printing - The Lost Caverns of Ixalan,0.13,Sorcery,sym_x sym_3 sym_w
Abuna Acolyte,Cheapest Recent Printing - Scars of Mirrodin,0.14,Creature - Cat Cleric,sym_1 sym_w
Abuna's Chant,Cheapest Recent Printing - Fifth Dawn,0.07,Instant,sym_3 sym_w
Abundance,"Cheapest Recent Printing - Warhammer 40,000",1.14,Enchantment,sym_2 sym_g sym_g
Abundant Growth,Cheapest Recent Printing - Avacyn Restored,0.19,Enchantment - Aura,sym_g
Abundant Harvest,Cheapest Recent Printing - Commander Masters,0.07,Sorcery,sym_g
Abundant Maw,Cheapest Recent Printing - Eldritch Moon,0.05,Creature - Eldrazi Leech,sym_8
Abyssal Gatekeeper,Cheapest Recent Printing - Weatherlight,0.23,Creature - Horror,sym_1 sym_b
Abyssal Gorestalker,Cheapest Recent Printing - The Lost Caverns of Ixalan,0.07,Creature - Horror,sym_4 sym_b sym_b
Abyssal Harvester,Cheapest Recent Printing - Foundations,0.34,Creature - Demon Warlock,sym_1 sym_b sym_b
Abyssal Horror,Cheapest Recent Printing - Seventh Edition,0.44,Creature - Horror,sym_4 sym_b sym_b
Abyssal Hunter,Cheapest Recent Printing - Classic Sixth Edition,0.45,Creature - Human Assassin,sym_3 sym_b
Abyssal Nightstalker,Cheapest Recent Printing - Portal Second Age,0.32,Creature - Nightstalker,sym_3 sym_b
Abyssal Nocturnus,Cheapest Recent Printing - Guildpact,0.69,Creature - Horror,sym_1 sym_b sym_b
Abyssal Persecutor,Cheapest Recent Printing - Worldwake,2.26,Creature - Demon,sym_2 sym_b sym_b
Abyssal Specter,Cheapest Recent Printing - Eighth Edition,0.09,Creature - Specter,sym_2 sym_b sym_b
Abzan Advantage,Cheapest Recent Printing - Fate Reforged,0.05,Instant,sym_1 sym_w
Abzan Ascendancy,Cheapest Recent Printing - Khans of Tarkir,0.16,Enchantment,sym_w sym_b sym_g
Abzan Banner,Cheapest Recent Printing - Khans of Tarkir,0.10,Artifact,sym_3
Abzan Battle Priest,Cheapest Recent Printing - Khans of Tarkir,0.26,Creature - Human Cleric,sym_3 sym_w
Abzan Beastmaster,Cheapest Recent Printing - Fate Reforged,0.21,Creature - Dog Shaman,sym_2 sym_g
Abzan Charm,Cheapest Recent Printing - Khans of Tarkir,0.12,Instant,sym_w sym_b sym_g
Abzan Devotee,Cheapest Recent Printing - Tarkir: Dragonstorm,0.04,Creature - Dog Cleric,sym_1 sym_b
Abzan Falconer,Cheapest Recent Printing - Khans of Tarkir,0.28,Creature - Human Soldier,sym_2 sym_w
Abzan Guide,Cheapest Recent Printing - Khans of Tarkir,0.04,Creature - Human Warrior,sym_3 sym_w sym_b sym_g
Abzan Kin-Guard,Cheapest Recent Printing - Fate Reforged,0.05,Creature - Human Warrior,sym_3 sym_g
Abzan Monument,Cheapest Recent Printing - Tarkir: Dragonstorm,0.07,Artifact,sym_2
Abzan Runemark,Cheapest Recent Printing - Fate Reforged,0.05,Enchantment - Aura,sym_2 sym_w
Abzan Skycaptain,Cheapest Recent Printing - Fate Reforged,0.05,Creature - Bird Soldier,sym_3 sym_w
Academic Dispute,Cheapest Recent Printing - Strixhaven: School of Mages,0.14,Instant,sym_r
Academic Probation,Cheapest Recent Printing - Strixhaven: School of Mages,0.09,Sorcery - Lesson,sym_1 sym_w
Academy at Tolaria West,Cheapest Recent Printing - Planechase Anthology Planes,8.75,Plane - Dominaria,
Academy Drake,Cheapest Recent Printing - Dominaria,0.04,Creature - Drake,sym_2 sym_u
Academy Elite,Cheapest Recent Printing - The List,0.27,Creature - Human Wizard,sym_3 sym_u
Academy Journeymage,Cheapest Recent Printing - Dominaria,0.03,Creature - Human Wizard,sym_4 sym_u
Academy Loremaster,Cheapest Recent Printing - Dominaria United,0.09,Creature - Human Wizard,sym_u sym_u
Academy Manufactor,Cheapest Recent Printing - Bloomburrow Commander,4.54,Artifact Creature - Assembly-Worker,sym_3
Academy Raider,Cheapest Recent Printing - Magic 2014 Core Set,0.06,Creature - Human Warrior,sym_2 sym_r
Academy Rector,Cheapest Recent Printing - Urza's Destiny,68.95,Creature - Human Cleric,sym_3 sym_w
Academy Researchers,Cheapest Recent Printing - Tenth Edition,0.15,Creature - Human Wizard,sym_1 sym_u sym_u
Academy Ruins,Cheapest Recent Printing - Time Spiral,8.83,Legendary Land,
Academy Wall,Cheapest Recent Printing - Dominaria United,0.07,Creature - Wall,sym_2 sym_u
Accelerate,Cheapest Recent Printing - Torment,0.54,Instant,sym_1 sym_r
Accelerated Mutation,Cheapest Recent Printing - Scourge,0.10,Instant,sym_3 sym_g sym_g
Acceptable Losses,Cheapest Recent Printing - Odyssey,0.07,Sorcery,sym_3 sym_r
Access Denied,Cheapest Recent Printing - Kamigawa: Neon Dynasty Commander,2.74,Instant,sym_3 sym_u sym_u
Access Tunnel,Cheapest Recent Printing - Strixhaven: School of Mages,0.39,Land,
Accessories to Murder,Cheapest Recent Printing - Unstable,0.13,Artifact - Contraption,
Accident-Prone Apprentice // Amphibian Accident,Cheapest Recent Printing - Alchemy: Wilds of Eldraine,N/A,Creature - Otter Wizard // Instant - Adventure,sym_1 sym_r sym_1 sym_u
Acclaimed Contender,Cheapest Recent Printing - Throne of Eldraine,0.20,Creature - Human Knight,sym_2 sym_w
Accomplished Alchemist,Cheapest Recent Printing - Strixhaven: School of Mages,0.26,Creature - Elf Druid,sym_3 sym_g
Accomplished Automaton,Cheapest Recent Printing - Kaladesh,0.11,Artifact Creature - Construct,sym_7
Accorder Paladin,Cheapest Recent Printing - Mirrodin Besieged,0.15,Creature - Human Knight,sym_1 sym_w
Accorder's Shield,Cheapest Recent Printing - Magic 2014 Core Set,0.16,Artifact - Equipment,sym_0
Accumulate Wisdom,Cheapest Recent Printing - Avatar: The Last Airbender,0.49,Instant - Lesson,sym_1 sym_u
Accumulated Knowledge,Cheapest Recent Printing - Masters 25,0.24,Instant,sym_1 sym_u
Accursed Centaur,Cheapest Recent Printing - Onslaught,0.12,Creature - Zombie Centaur,sym_b
Accursed Duneyard,Cheapest Recent Printing - Aetherdrift Commander,1.51,Land,
Accursed Horde,Cheapest Recent Printing - Hour of Devastation,0.06,Creature - Zombie,sym_3 sym_b
Accursed Marauder,Cheapest Recent Printing - Modern Horizons 3,0.26,Creature - Zombie Warrior,sym_1 sym_b
Accursed Spirit,Cheapest Recent Printing - Magic 2015 Core Set,0.03,Creature - Spirit,sym_3 sym_b
Accursed Witch // Infectious Curse,Cheapest Recent Printing - Shadows over Innistrad,0.21,Creature - Human Shaman // Enchantment - Aura Curse,sym_3 sym_b
Ace Flockbringer,Cheapest Recent Printing - Alchemy: Bloomburrow,N/A,Creature - Bird Scout,sym_1 sym_w sym_u
"Ace, Fearless Rebel",Cheapest Recent Printing - Doctor Who,0.07,Legendary Creature - Human Rebel,sym_3 sym_g
Ace's Baseball Bat,Cheapest Recent Printing - Doctor Who,0.18,Legendary Artifact - Equipment,sym_2
Acererak the Archlich,Cheapest Recent Printing - Adventures in the Forgotten Realms,1.54,Legendary Creature - Zombie Wizard,sym_2 sym_b
"Ach! Hans, Run!",Cheapest Recent Printing - Unhinged,3.52,Enchantment,sym_2 sym_r sym_r sym_g sym_g
Achilles Davenport,Cheapest Recent Printing - Assassin's Creed,2.86,Legendary Creature - Human Assassin,sym_2 sym_u sym_b
Acid Rain,Cheapest Recent Printing - Legends,90.65,Sorcery,sym_3 sym_u
Acid Web Spider,Cheapest Recent Printing - Scars of Mirrodin,0.21,Creature - Spider,sym_3 sym_g sym_g
Acid-Spewer Dragon,Cheapest Recent Printing - Dragons of Tarkir,0.16,Creature - Dragon,sym_5 sym_b
Acidic Dagger,Cheapest Recent Printing - Mirage,0.35,Artifact,sym_4
Acidic Slime,Cheapest Recent Printing - Magic 2013,0.10,Creature - Ooze,sym_3 sym_g sym_g
Acidic Sliver,Cheapest Recent Printing - Stronghold,0.71,Creature - Sliver,sym_b sym_r
Acidic Soil,Cheapest Recent Printing - The List,0.38,Sorcery,sym_2 sym_r
"Aclazotz, Deepest Betrayal // Temple of the Dead",Cheapest Recent Printing - The Lost Caverns of Ixalan,5.23,Legendary Creature - Bat God // Land,sym_3 sym_b sym_b
Acolyte Hybrid,"Cheapest Recent Printing - Warhammer 40,000 Surge Foils",0.35,Creature - Tyranid Human,sym_2 sym_r
Acolyte of Aclazotz,Cheapest Recent Printing - The Lost Caverns of Ixalan,0.05,Creature - Vampire Cleric,sym_2 sym_b
Acolyte of Affliction,Cheapest Recent Printing - Theros Beyond Death,0.12,Creature - Human Cleric,sym_2 sym_b sym_g
Acolyte of Bahamut,Cheapest Recent Printing - Commander Legends: Battle for Baldur's Gate,0.07,Legendary Enchantment - Background,sym_1 sym_g
Acolyte of the Inferno,Cheapest Recent Printing - Magic Origins,0.03,Creature - Human Monk,sym_2 sym_r
Acolyte of Xathrid,Cheapest Recent Printing - Magic 2010,0.05,Creature - Human Cleric,sym_b
Acolyte's Reward,Cheapest Recent Printing - Born of the Gods,0.11,Instant,sym_1 sym_w
Acorn Catapult,Cheapest Recent Printing - The List,6.21,Artifact,sym_4
Acorn Harvest,Cheapest Recent Printing - Torment,0.86,Sorcery,sym_3 sym_g
"Acornelia, Fashionable Filcher",Cheapest Recent Printing - Unsanctioned,0.25,Legendary Creature - Squirrel,sym_3 sym_b
Acquire,Cheapest Recent Printing - Fifth Dawn,2.22,Sorcery,sym_3 sym_u sym_u
Acquired Mutation,Cheapest Recent Printing - Fallout,0.10,Enchantment - Aura,sym_2 sym_r
Acquisition Octopus,Cheapest Recent Printing - Kamigawa: Neon Dynasty,0.09,Artifact Creature - Equipment Octopus,sym_2 sym_u
Acquisitions Expert,Cheapest Recent Printing - Zendikar Rising,0.06,Creature - Human Rogue,sym_1 sym_b
Acridian,Cheapest Recent Printing - Urza's Saga,0.15,Creature - Insect,sym_1 sym_g
Acrobatic Cheerleader,Cheapest Recent Printing - Duskmourn: House of Horror,0.04,Creature - Human Survivor,sym_1 sym_w
Acrobatic Leap,Cheapest Recent Printing - The Lost Caverns of Ixalan,0.03,Instant,sym_w
Acrobatic Maneuver,Cheapest Recent Printing - Kaladesh,0.18,Instant,sym_2 sym_w
Act of Aggression,Cheapest Recent Printing - New Phyrexia,0.32,Instant,sym_3 sym_rp sym_rp
Act of Authority,Cheapest Recent Printing - Commander 2013,0.70,Enchantment,sym_1 sym_w sym_w
Act of Heroism,Cheapest Recent Printing - Hour of Devastation,0.05,Instant,sym_1 sym_w
Act of Treason,Cheapest Recent Printing - Core Set 2020,0.05,Sorcery,sym_2 sym_r
Act on Impulse,Cheapest Recent Printing - Magic 2015 Core Set,0.09,Sorcery,sym_2 sym_r
Activated Sleeper,Cheapest Recent Printing - Dominaria United Commander,0.77,Creature - Phyrexian Shapeshifter,sym_2 sym_b
Active Volcano,Cheapest Recent Printing - Legends,0.54,Instant,sym_r
Ad Nauseam,Cheapest Recent Printing - Shards of Alara,21.41,Instant,sym_3 sym_b sym_b
"Adagia, Windswept Bastion",Cheapest Recent Printing - Edge of Eternities,5.09,Land - Planet,
Adamant Will,Cheapest Recent Printing - Foundations,0.20,Instant,sym_1 sym_w
"Adamaro, First to Desire",Cheapest Recent Printing - Saviors of Kamigawa,0.70,Legendary Creature - Spirit,sym_1 sym_r sym_r
Adanto Vanguard,Cheapest Recent Printing - Ixalan,0.16,Creature - Vampire Soldier,sym_1 sym_w
Adaptive,Cheapest Recent Printing - Avatar: The Last Airbender Jumpstart Front Cards,N/A,Token,
Adaptive Automaton,Cheapest Recent Printing - Foundations,0.84,Artifact Creature - Construct,sym_3
Adaptive Gemguard,Cheapest Recent Printing - The Lost Caverns of Ixalan,0.06,Artifact Creature - Gnome,sym_3 sym_w
Adaptive Omnitool,Cheapest Recent Printing - Aetherdrift Commander,1.68,Artifact - Equipment,sym_2
